path,usage_count,sample_files
pages.marketingIntel.marketingIntel.aiPredict.gdpr.consentRate,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.withdrawn,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.analytics,0,
pages.marketingIntel.marketingIntel.aiPredict.gdpr.marketing,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.mktLowRoas,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.mktRulesActive,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.mktOptimizeNow,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.mktHubAction,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.mktHighRoas,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.mktHighRoasSub,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.mktBudgetAction,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.crmChurn,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.crmVip,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.crmJourney,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.crmJourneyAction,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.ordersAiRun,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.ordersAiSub,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.ordersCampaignAction,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.triggerTypes.signup,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.triggerTypes.purchase,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.triggerTypes.cart_abandoned,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.triggerTypes.churned,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.triggerTypes.segment_entered,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.triggerTypes.birthday,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.triggerTypes.manual,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.nodeConfig,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.nodeName,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.triggerType,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.emailSubject,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.emailFrom,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.emailSubjectPh,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.emailSenderPh,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.emailTestSend,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.emailSimulate,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.kakaoTemplate,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.kakaoMsgType,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.kakaoAlimtalk,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.kakaoFriendtalk,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.kakaoTest,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.lineTemplate,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.lineMsgType,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.lineTestSend,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.lineSimulate,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.delayTime,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.delayUnit,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.minutes,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.hours,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.days,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.conditionField,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.conditionEmailClicked,0,
pages.marketingIntel.marketingIntel.aiPredict.banner.conditionEmailOpened,0,
