key,namespace_l2,value,locale_count,locales
dash.operations.super.conTestSend,dash.operations,Test Send,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conBtnAcctConn,dash.operations,Account Connection,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conBtnWhSettings,dash.operations,Webhook Settings,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conEventFeed,dash.operations,Event Feed,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conRealtime,dash.operations,Real-time,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conAllPlat,dash.operations,All Platforms,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.conFltAllBase,dash.operations,All,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.importBtn,dash.operations,+ Import,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.emptyTitle,dash.operations,No settlement data,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.emptyGoHub,dash.operations,Go to Integration Hub,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.autoFeeTitle,dash.operations,Auto Commission Rates,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.pageTitle,dash.operations,Channel Settlements,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.colVatTax,dash.operations,VAT/Tax (%),12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.colCommission,dash.operations,Commission (%),12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.colStatus,dash.operations,Status,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
dash.operations.super.labelStatus,dash.operations,Status,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.searchResult,topbar.searchResult,Search Result,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.currentPageHelp,topbar.currentPageHelp,Current Page Help,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.needMoreHelp,topbar.needMoreHelp,Need more details?,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.footerHelp,topbar.footerHelp,Contact admin for support,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.noHelpFound,topbar.noHelpFound,No help found for '{{q}}',12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.tryOther,topbar.tryOther,Try a different keyword,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.helpResultCount,topbar.helpResultCount,"{{n}} result(s) for ""{{q}}""",12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
topbar.goToPage,topbar.goToPage,Go to {{path}},12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.dashboard.hero,pages.dashboard,Unified Ops Cockpit,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
pages.dashboard.allSystemsGo,pages.dashboard,All Systems Go,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
