key,l3_namespace,value,locale_count,locales
crm.contentCal.performance,crm.contentCal.performance,Performance,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.fixedPerf,crm.contentCal.fixedPerf,Fixed Perf,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.expired,crm.contentCal.expired,Expired,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.daysLeft,crm.contentCal.daysLeft,Days Left,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.signed,crm.contentCal.signed,Signed,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.pending,crm.contentCal.pending,Pending,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.rejected,crm.contentCal.rejected,Rejected,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.stPaid,crm.contentCal.stPaid,St Paid,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.stPartial,crm.contentCal.stPartial,St Partial,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.stUnpaid,crm.contentCal.stUnpaid,St Unpaid,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.stOverpaid,crm.contentCal.stOverpaid,St Overpaid,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.perContract,crm.contentCal.perContract,Per Contract,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.actualPaid,crm.contentCal.actualPaid,Actual Paid,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.difference,crm.contentCal.difference,Difference,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.recover,crm.contentCal.recover,Recover,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.payRemaining,crm.contentCal.payRemaining,Pay Remaining,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
crm.contentCal.viewsPerOrder,crm.contentCal.viewsPerOrder,Views Per Order,12,"en,zh-TW,es,fr,de,pt,ru,ar,hi,id,th,vi"
